betriebe_id,jahr,jahresfracht,stoff_name,stoff_gruppe,stoff_schwellenwert,bestimmungsmethode,bestimmungsverfahren,name,kennnummer,wgs84_x,wgs84_y,anschrift,bundesland,flusseinzugsgebiet,muttergesellschaft,eigentuemer,betreiber,nace_code,nace_text,prtr_beschreibung,ivu_beschreibung,branchengruppe
85858,2007,40,Nickel und Verbindungen (als Ni),Schwermetalle,20.0,Schätzung,,W. C.  Heraeus GmbH,06-00086010435,8.92977207066508,50.1335680281843,"Heraeusstraße 12-14
63450 Hanau",Hessen,Rhein,W. C. Heraeus GmbH,W. C. Heraeus GmbH,W. C. Heraeus GmbH,2445,Erzeugung und erste Bearbeitung von sonstigen NE-Metallen,Herstellung von Nichtmetallen und Metalloxiden,Herstellung von Nichtmetallen und Metalloxiden,Chemische Industrie
182138,2014,116,Nickel und Verbindungen (als Ni),Schwermetalle,20.0,Messung,INT (M) CEN/ISO,Clariant Produkte (Deutschland) GmbH   Höchst,06-70007370412,8.52496243761356,50.0912551433198,"Brüningstraße 50
65929 Frankfurt am Main, St.",Hessen,Rhein,Clariant Produkte (Deutschland) GmbH,Clariant Produkte (Deutschland) GmbH,Clariant Produkte (Deutschland) GmbH,2012,Herstellung von Farbstoffen und Pigmenten,Herstellung von Farbstoffen und Pigmenten,,Chemische Industrie
185408,2014,141,Nickel und Verbindungen (als Ni),Schwermetalle,20.0,Messung,INT (M) CEN/ISO,Radici Chimica Deutschland GmbH,15794,12.1891829061913,51.0668017074399,Dr.-Bergius-Straße 6 -06729 Elsteraue,Sachsen-Anhalt,Elbe/Labe,Radici Chimica Deutschland GmbH,,Radici Chimica Deutschland GmbH,2014,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Chemieanlagen zur industriellen Herstellung von organischen Grundchemikalien,,Chemische Industrie
85888,2007,100,Nickel und Verbindungen (als Ni),Schwermetalle,20.0,Messung,OTH (M),LII Europe GmbH,06-00454010412,8.52595115745692,50.095185992229,"Brüningstraße 50
65926 Frankfurt am Main, St.",Hessen,Rhein,LII Europe GmbH,,,2013,Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien,Herstellung halogenhaltiger KW,Herstellung halogenhaltiger KW,Chemische Industrie
169868,2010,54,Nickel und Verbindungen (als Ni),Schwermetalle,20.0,Messung,INT (M) CEN/ISO,DyStar Colours Deutschland GmbH,06-05-300-6099227,6.98895624263404,51.0208043559911,"CHEMPARK Leverkusen Gebäude B 9
51368 Leverkusen",Nordrhein-Westfalen,Rhein,Kiri Holding Singapore Ltd.,Kiri Holding Singapore Ltd.,DyStar Colours Deutschland GmbH,2012,Herstellung von Farbstoffen und Pigmenten,Herstellung von Farbstoffen und Pigmenten,Herstellung von Farbstoffen und Pigmenten,Chemische Industrie
181185,2014,115,Nickel und Verbindungen (als Ni),Schwermetalle,20.0,Schätzung,Sonstiges (E),H.C. Starck Smelting GmbH & Co. KG,06-08-50902233,8.03743540099076,47.5571761176938,"Ferroweg 1
79725 Laufenburg",Baden-Württemberg,Rhein,H. C. Starck GmbH,H.C. Starck GmbH,H.C. Starck Smelting GmbH & Co. KG,2399,Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.,Chemieanlagen zur industriellen Herstellung von anorganischen Grundchemikalien,,Chemische Industrie
178251,2013,43.9,Nickel und Verbindungen (als Ni),Schwermetalle,20.0,Messung,INT (M) CEN/ISO,Sanofi-Aventis Deutschland GmbH,06-00436010412,8.53751938253435,50.09530815434,"Brüningstr. 50
65936 Frankfurt am Main, St.",Hessen,Rhein,Sanofi-Aventis Deutschland GmbH,Sanofi-Aventis Deutschland GmbH,Sanofi-Aventis Deutschland GmbH,2110,Herstellung von pharmazeutischen Grundstoffen,Herstellung von Grundarzneimitteln,,Chemische Industrie
167300,2009,851,Nickel und Verbindungen (als Ni),Schwermetalle,20.0,Messung,INT (M) CEN/ISO,Evonik Oxeno GmbH,06-05-500-0875729,7.10303987874825,51.6783861500897,"Paul-Baumann-Str. 1
45772 Marl",Nordrhein-Westfalen,Rhein,Evonik Oxeno GmbH,Evonik Oxeno GmbH,Evonik Oxeno GmbH,2014,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Herstellung sauerstoffhaltiger KW,Herstellung sauerstoffhaltiger KW,Chemische Industrie
162359,2007,33,Nickel und Verbindungen (als Ni),Schwermetalle,20.0,Messung,OTH (M),INEOS Phenol GmbH & Co. KG,06-05-500-0081907,6.96696281102659,51.5964147219693,"Dechenstr. 3
45966 Gladbeck",Nordrhein-Westfalen,Rhein,INEOS Capital,,,2014,Herstellung von sonstigen organischen Grundstoffen und Chemikalien,Herstellung sauerstoffhaltiger KW,Herstellung sauerstoffhaltiger KW,Chemische Industrie
178139,2013,37.5,Nickel und Verbindungen (als Ni),Schwermetalle,20.0,Messung,INT (M) CEN/ISO,"Ticona GmbH, Industriepark Höchst",06-70008690412,8.53730814989525,50.0867540536804,"Brüningstraße 50
65929 Frankfurt am Main, St.",Hessen,Rhein,Ticona GmbH,Ticona GmbH,Ticona GmbH,2016,Herstellung von Kunststoffen in Primärformen,Herstellung von Basiskunststoffen,,Chemische Industrie
